,model,reg,lamb,eval/lr,eval/loss,eval/ece,eval/mce,eval/top1_acc,eval/top5_acc,eval/L,eval/alphaD,eval/var,eval/lambd,eval/cummulant,test/lr,test/loss,test/ece,test/mce,test/top1_acc,test/top5_acc,test/L,test/alphaD,test/var,test/lambd,test/cummulant
20,resnet20,3,0.1,0.1,1.3071492779670204,0.03506257385015488,0.09894905239343643,0.62299999999377,0.89799999999102,1.3071495294570923,0.6084917783737183,2.4768154621124268,0.10000000149011612,0.011325404047966003,0.1,1.3010511516314072,0.02102646604180336,0.08894510567188263,0.6276666666659692,0.8895555555545671,1.301051139831543,0.6322444081306458,2.726548671722412,0.10000000149011612,0.01235400140285492
21,resnet20,5,2.0,0.1,1.174216973960345,0.06388656795024872,0.11905628442764282,0.67599999999324,0.92699999999073,1.1742171049118042,0.6587135195732117,3.2372970581054688,0.10000000149011612,0.014161206781864166,0.1,1.1626705580614423,0.06970024108886719,0.1272994875907898,0.6851111111103498,0.9122222222212085,1.162670612335205,0.6794156432151794,3.4630584716796875,0.10000000149011612,0.015074588358402252
22,resnet20,5,0.1,0.1,1.1844015003019812,0.0578257218003273,0.11607509851455688,0.67399999999326,0.91699999999083,1.184401512145996,0.6578633189201355,3.1536142826080322,0.10000000149011612,0.013919360935688019,0.1,1.140035786951474,0.056647345423698425,0.09788617491722107,0.6803333333325774,0.9146666666656503,1.14003586769104,0.6437186598777771,3.0405373573303223,0.10000000149011612,0.013408109545707703
23,resnet20,3,2.0,0.1,1.2337295885690762,0.045522816479206085,0.12284892797470093,0.64099999999359,0.91299999999087,1.2337297201156616,0.6167093515396118,2.64265513420105,0.10000000149011612,0.0119437575340271,0.1,1.1934301045190998,0.032450880855321884,0.09229238331317902,0.6625555555548194,0.9069999999989922,1.1934301853179932,0.6277017593383789,2.8681392669677734,0.10000000149011612,0.012719370424747467
24,resnet20,4,0.1,0.1,1.329562293108491,0.12938642501831055,0.22312062978744507,0.64899999999351,0.90499999999095,1.3295621871948242,0.7780091762542725,4.411910533905029,0.10000000149011612,0.019093215465545654,0.1,1.2197791721778115,0.10303036868572235,0.19807201623916626,0.6824444444436861,0.9137777777767624,1.219779133796692,0.7459124326705933,4.235652923583984,0.10000000149011612,0.01809512823820114
25,resnet20,5,0.001,0.1,1.1654627206604364,0.05228334665298462,0.1394527554512024,0.67699999999323,0.91199999999088,1.165462851524353,0.6381546854972839,2.902038335800171,0.10000000149011612,0.012978687882423401,0.1,1.1493202567575775,0.058293916285037994,0.10861390829086304,0.6805555555547993,0.9079999999989911,1.149320363998413,0.6522859930992126,3.0924572944641113,0.10000000149011612,0.013679467141628265
26,resnet20,3,1.0,0.1,1.2428090448076274,0.034207578748464584,0.06943368911743164,0.62799999999372,0.91199999999088,1.2428094148635864,0.5998352766036987,2.474095344543457,0.10000000149011612,0.011239059269428253,0.1,1.1909788701281738,0.026488780975341797,0.06296014785766602,0.6549999999992722,0.9073333333323251,1.19097900390625,0.6138785481452942,2.7208967208862305,0.10000000149011612,0.012118533253669739
27,resnet20,3,0.001,0.1,1.3419955834657253,0.0330105796456337,0.08311301469802856,0.60299999999397,0.89099999999109,1.3419957160949707,0.6226888298988342,2.596353769302368,0.10000000149011612,0.01184457540512085,0.1,1.3345064572235408,0.03406645730137825,0.0757749080657959,0.6142222222215397,0.8834444444434627,1.3345065116882324,0.6439046859741211,2.8051445484161377,0.10000000149011612,0.012713581323623657
28,resnet20,0,0.1,0.1,1.2411018485890426,0.09767081588506699,0.1935889720916748,0.68899999999311,0.90699999999093,1.241101861000061,0.7546538710594177,4.266406059265137,0.10000000149011612,0.01832006126642227,0.1,1.2451537568774345,0.10064555704593658,0.180317223072052,0.6907777777770102,0.907777777776769,1.2451539039611816,0.7678755521774292,4.4218621253967285,0.10000000149011612,0.01895126700401306
29,resnet20,5,1.0,0.1,1.2642643325264242,0.09231974184513092,0.189970463514328,0.64899999999351,0.90699999999093,1.2642642259597778,0.7025805711746216,3.5580484867095947,0.10000000149011612,0.015649527311325073,0.1,1.1311109318351154,0.06110192835330963,0.10952979326248169,0.6868888888881256,0.91799999999898,1.1311109066009521,0.6512406468391418,3.169332265853882,0.10000000149011612,0.013879373669624329
